cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
      1224, 9.243582487E-01,-1.510209590E-01, 2.549818277E+00, 4.785255063E-03,-1.094583931E-04,-7.667486090E-03
      1225, 9.054910541E-01,-1.698881686E-01, 2.549818277E+00,-1.476075267E-04,-5.315856106E-05,-7.845013402E-03
      1226, 8.866237998E-01,-1.887553632E-01, 2.549818277E+00,-3.497952130E-04,-1.005257764E-05,-7.976680063E-03
      1227, 8.677566648E-01,-2.076225728E-01, 2.549818277E+00,-4.064120294E-04,-7.638737588E-05,-7.996855304E-03
      1228, 8.488894105E-01,-2.264897823E-01, 2.549818277E+00,-1.209478360E-03,-9.174673323E-05,-7.958128117E-03
      1229, 8.300222158E-01,-2.453569919E-01, 2.549818277E+00,-4.323762259E-04,-7.618730160E-05,-7.901051082E-03
      1230, 8.111550212E-01,-2.642242014E-01, 2.549818277E+00, 4.985668420E-05,-7.757711865E-05,-7.816324010E-03
      1231, 7.922877669E-01,-2.830913961E-01, 2.549818277E+00, 1.565669481E-05,-6.655079051E-05,-7.684287615E-03
      1232, 7.734206319E-01,-3.019585907E-01, 2.549818277E+00, 5.555495227E-05,-5.806836270E-05,-7.542191073E-03
      1233, 7.545533776E-01,-3.208258152E-01, 2.549818277E+00, 1.032275613E-04,-5.028048690E-05,-7.410497405E-03
      1234, 7.356861830E-01,-3.396930099E-01, 2.549818277E+00, 1.147519288E-04,-4.449015978E-05,-7.280032616E-03
      1235, 1.038116693E+00,-5.683907866E-02, 2.549818277E+00, 5.839816877E-04,-9.256306221E-04, 1.183739677E-02
      1236, 1.018694282E+00,-7.555212826E-02, 2.549818277E+00, 6.244722754E-04, 3.733692691E-03, 1.057953853E-02
      1237, 9.998270273E-01,-9.441933781E-02, 2.549818277E+00, 4.971656017E-04, 2.138576703E-03, 1.108333934E-03
      1238, 9.809598327E-01,-1.132865399E-01, 2.549818277E+00,-1.667740289E-04,-8.635989798E-05,-4.081207328E-03
      1239, 9.620925784E-01,-1.321537495E-01, 2.549818277E+00,-2.663741587E-03,-3.273447801E-04,-6.343720946E-03
      1240, 9.432254434E-01,-1.510209590E-01, 2.549818277E+00, 6.878246088E-03,-2.754931920E-04,-7.129510865E-03
      1241, 9.243582487E-01,-1.698881686E-01, 2.549818277E+00,-2.167508501E-04,-9.829032206E-05,-7.478404790E-03
      1242, 9.054910541E-01,-1.887553632E-01, 2.549818277E+00,-6.919463631E-04,-8.403850370E-05,-7.892574184E-03
      1243, 8.866237998E-01,-2.076225728E-01, 2.549818277E+00,-5.912119523E-04,-5.927286111E-06,-8.063198067E-03
      1244, 8.677566648E-01,-2.264897823E-01, 2.549818277E+00,-2.047632821E-03,-8.454002091E-05,-8.165243082E-03
      1245, 8.488894105E-01,-2.453569919E-01, 2.549818277E+00,-3.683076357E-04,-1.085989352E-04,-8.113460615E-03
      1246, 8.300222158E-01,-2.642242014E-01, 2.549818277E+00, 3.344472861E-05,-6.636286707E-05,-8.022895083E-03
      1247, 8.111550212E-01,-2.830913961E-01, 2.549818277E+00,-6.535302236E-05,-6.997862511E-05,-7.887415588E-03
      1248, 7.922877669E-01,-3.019585907E-01, 2.549818277E+00,-8.732875358E-06,-5.960700582E-05,-7.734472863E-03
      1249, 7.734206319E-01,-3.208258152E-01, 2.549818277E+00, 8.904450078E-05,-5.272285125E-05,-7.597649004E-03
      1250, 7.545533776E-01,-3.396930099E-01, 2.549818277E+00, 1.148982410E-04,-4.636618905E-05,-7.471836638E-03
